4.732753848883458e-03	3.056772617099401e+08
9.475017097035545e-03	2.978563995345600e+08
1.418764520564950e-02	2.844997353710456e+08
1.891401464809649e-02	2.721496912779595e+08
2.365934160370853e-02	2.606746955826833e+08
2.838799688002367e-02	2.499696874082328e+08
3.310816122296908e-02	2.399504537325950e+08
3.785281688749315e-02	2.305702853584734e+08
4.257490947398888e-02	2.217159483881806e+08
4.731246151078668e-02	2.133857757859110e+08
5.203873322764076e-02	2.054928006702711e+08
5.677431689854696e-02	1.980190742329598e+08
6.151005999197145e-02	1.909259677849548e+08
6.623169970383545e-02	1.841743628694948e+08
7.096491331173610e-02	1.777489995033128e+08
7.569686873158779e-02	1.716134486305872e+08
8.042667440250161e-02	1.657512337793567e+08
8.515961704532030e-02	1.601499196899901e+08
8.988257013420255e-02	1.547791372998240e+08
9.462079459958969e-02	1.496357279567986e+08
9.935625003536132e-02	1.447018629380286e+08
1.040784560159588e-01	1.399646160472491e+08
1.088104563618978e-01	1.354176978922147e+08
1.135446620429544e-01	1.310444043626214e+08
1.182771272453000e-01	1.268405472714585e+08
1.230049889941791e-01	1.227967757886400e+08
1.277357834941943e-01	1.189076030700040e+08
1.324641902787456e-01	1.151602826467806e+08
1.372009856681450e-01	1.115540431269055e+08
1.419320290648151e-01	1.080798246538200e+08
1.466604991225521e-01	1.047339244913142e+08
1.513936761505636e-01	1.015107118297168e+08
1.561275323127656e-01	9.840672539163786e+07
1.608512085181089e-01	9.541370367527990e+07
1.655851836521400e-01	9.253191613008353e+07
1.703168759502820e-01	8.975292182109831e+07
1.750465555959624e-01	8.707480855858329e+07
1.797791871854604e-01	8.449500444651288e+07
1.845080595513168e-01	8.200785918188925e+07
1.892393982058267e-01	7.961157818444856e+07
1.939709206450751e-01	7.730180957291390e+07
1.987023219232572e-01	7.507581706380641e+07
2.034343835386924e-01	7.293129259828897e+07
2.081637261693945e-01	7.086454265333404e+07
2.128948679186027e-01	6.887394201816505e+07
2.176234352582518e-01	6.695496127607191e+07
2.223568470679418e-01	6.510694622796786e+07
2.270860099303159e-01	6.332534703971631e+07
2.318192550467832e-01	6.161024011184034e+07
2.365474815561379e-01	5.995697293132998e+07
2.412808242002337e-01	5.836519158980326e+07
2.460124946990295e-01	5.683173424878540e+07
2.507419504869789e-01	5.535496351541030e+07
2.554733164525272e-01	5.393300450252957e+07
2.602049036313339e-01	5.256347583727229e+07
2.649372432822353e-01	5.124514252319584e+07
2.696672337859934e-01	4.997619395424854e+07
2.743960649598070e-01	4.875473452637158e+07
2.791285840668425e-01	4.757943798092265e+07
2.838594809297664e-01	4.644855940438893e+07
2.885884194728450e-01	4.536067930113625e+07
2.933211205801610e-01	4.431486554758626e+07
2.980514073020987e-01	4.330945251182640e+07
3.027806364002633e-01	4.234331085637799e+07
3.075144781947693e-01	4.141580784811831e+07
3.122440948431091e-01	4.052539272594215e+07
3.169753190445631e-01	3.967194894664176e+07
3.217055429324469e-01	3.885435872080976e+07
3.264362998169221e-01	3.807211679990144e+07
3.311706129535451e-01	3.732540501463356e+07
3.358990254027347e-01	3.661364298908756e+07
3.406309245751448e-01	3.593701710963988e+07
3.453616285225991e-01	3.529315571942419e+07
3.500911912725461e-01	3.467766104653048e+07
3.548218210106326e-01	3.408507919883563e+07
3.595529480327636e-01	3.351172712547098e+07
3.642852235545130e-01	3.295619788151602e+07
3.690150809611226e-01	3.241748853455856e+07
3.737453062953997e-01	3.189475794582786e+07
3.784760460665866e-01	3.138708720075145e+07
3.832054687674579e-01	3.089358341214545e+07
3.879380610671924e-01	3.041358439921083e+07
3.926709812794757e-01	2.994636678201217e+07
3.974009665923216e-01	2.949134737335468e+07
4.021315258928289e-01	2.904804512416377e+07
4.068618015115864e-01	2.861575414204859e+07
4.115930610504533e-01	2.819400436528352e+07
4.163226022691233e-01	2.778220982999698e+07
4.210541232514927e-01	2.738003601340247e+07
4.257853169207799e-01	2.698700436425162e+07
4.305161252413640e-01	2.660280202022629e+07
4.352458582042662e-01	2.622699982514604e+07
4.399772952785098e-01	2.585932637600242e+07
4.447071948421322e-01	2.549938327245312e+07
4.494383072545399e-01	2.514696942290299e+07
4.541690788810310e-01	2.480177260512542e+07
4.589000333503024e-01	2.446359556684500e+07
4.636306988883077e-01	2.413220637046283e+07
4.683604206595308e-01	2.380731968766666e+07
4.730924008038040e-01	2.348878791199214e+07
4.778235251964926e-01	2.317643522699724e+07
4.825539112780079e-01	2.287012711333140e+07
4.872856946955229e-01	2.256971373983746e+07
4.920165141697009e-01	2.227501450128995e+07
4.967463181415324e-01	2.198587077722398e+07
5.014772296762254e-01	2.170215951660282e+07
5.062078955986198e-01	2.142375131717557e+07
5.109390140854263e-01	2.115058526890689e+07
5.156691443415071e-01	2.088252782799675e+07
5.203995065899486e-01	2.061946218230713e+07
5.251305461590778e-01	2.036125407552269e+07
5.298612965067890e-01	2.010780119025881e+07
5.345913559869538e-01	1.985900785273955e+07
5.393220151196487e-01	1.961478165921477e+07
5.440530318292142e-01	1.937502079112122e+07
5.487838898647556e-01	1.913963970581408e+07
5.535145465479925e-01	1.890855253590881e+07
5.582447719877537e-01	1.868165876754729e+07
5.629749079746297e-01	1.845883746830263e+07
5.677063512664359e-01	1.824001524889272e+07
5.724362966493834e-01	1.802507682821468e+07
5.771672459612831e-01	1.781395780577999e+07
5.818979700941862e-01	1.760653080846500e+07
5.866292059514634e-01	1.740273200063870e+07
5.913596465131743e-01	1.720247032804337e+07
5.960897490510105e-01	1.700566620760708e+07
6.008197660366715e-01	1.681221266466453e+07
6.055504449266000e-01	1.662201652363563e+07
6.102815626130740e-01	1.643500927032727e+07
6.150117144759299e-01	1.625110731094479e+07
