# KAMEL FP susceptibility oracle; generated from Markl thesis (5.13)-(5.15), not W2_arr.
# Wolfram NIntegrate working precision: 70 digits; committed values: 34 digits.
# Cases 1-3: finite parallel flow and mphi=-1,0,+1; 4: general complex point;
# 5: near-zero resonance numerator; 6: strong collision; 7: collisionless scaling.
# case kpar T_erg mass nu omega_E Vpar mphi omega_c omega k l x1 x2 Re(Ikl) Im(Ikl)
6 2. 1. 1. 10. 0 0 0 0 0.5 0 0 0.2 0.05 4.599265301175717153746711301920209 15.53410359971119189221208918047826
6 2. 1. 1. 10. 0 0 0 0 0.5 2 0 0.2 0.05 5.869824581684492456844057980772183 5.469963101451595935446644701180153
6 2. 1. 1. 10. 0 0 0 0 0.5 0 2 0.2 0.05 5.869824581684492456844057980772183 5.469963101451595935446644701180153
6 2. 1. 1. 10. 0 0 0 0 0.5 0 1 0.2 0.05 1.149816325293929288436677825480052 -1.116474100072202026946977704880434
6 2. 1. 1. 10. 0 0 0 0 0.5 2 1 0.2 0.05 1.467456145421123114211014495193046 -3.632509224637101016138338824704962
6 2. 1. 1. 10. 0 0 0 0 0.5 2 2 0.2 0.05 18.52941015954078585924444774732307 6.429153420946340317020487769788988
6 2. 1. 1. 10. 0 0 0 0 0.5 1 1 0.2 0.05 0.2874540813234823221091694563700131 -0.2791185250180505067367444262201085
6 2. 1. 1. 10. 0 0 0 0 0.5 1 3 0.2 0.05 0.3668640363552807785527536237982614 -0.9081273061592752540345847061762405
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 0 0 6. -8. 0.07272348505035489007650962391837135 -0.1180077660340046305094739348686044
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 2 0 6. -8. 0.1308400254152965533561340125507481 -0.003730136293864874256066911748268209
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 0 2 6. -8. 0.1308400254152965533561340125507481 -0.003730136293864874256066911748268209
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 0 1 6. -8. -0.09696464673380652010201283189116179 -0.009322978621327159320701420175194067
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 2 1 6. -8. -0.1744533672203954044748453500676641 -0.1616931516081801676585774510023091
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 2 2 6. -8. 0.2595533482285572339095567085906036 0.1865153076075076561322957096584681
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 1 1 6. -8. 0.1292861956450753601360171091882157 0.01243063816176954576093522690025876
7 0.6 1. 1. 0.1 0 0 0 0 -0.8 1 3 6. -8. 0.2326044896271938726331271334235521 0.2155908688109068902114366013364121
