9.444444444444442865e+00 1.664534821241489881e+00 2.886469115624092030e+00 -1.664534821241489659e+00 -2.886469115624092030e+00
9.444444444444442865e+00 1.664534821241489881e+00 2.886469115624092030e+00 -1.664534821241489659e+00 -2.886469115624092030e+00
1.008888888888888857e+01 1.686974388197302277e+00 2.980687760447776391e+00 -1.686974388197302721e+00 -2.980687760447776391e+00
1.073333333333333250e+01 1.703174473535400857e+00 3.065490701865165590e+00 -1.703174473535401523e+00 -3.065490701865165146e+00
1.137777777777777644e+01 1.715068606140057739e+00 3.142027930598935814e+00 -1.715068606140057739e+00 -3.142027930598936258e+00
1.202222222222222214e+01 1.723992456450275323e+00 3.211320121473548728e+00 -1.723992456450275323e+00 -3.211320121473548728e+00
1.266666666666666607e+01 1.730884702862040658e+00 3.274248996312582705e+00 -1.730884702862040436e+00 -3.274248996312583149e+00
1.331111111111111001e+01 1.736415717872521025e+00 3.331567247084961103e+00 -1.736415717872521247e+00 -3.331567247084960659e+00
1.395555555555555394e+01 1.741071517458121054e+00 3.383914589565139686e+00 -1.741071517458121054e+00 -3.383914589565139686e+00
1.459999999999999787e+01 1.745209514786806748e+00 3.431834402120205851e+00 -1.745209514786806970e+00 -3.431834402120205407e+00
1.459999999999999787e+01 1.745209514786806748e+00 3.431834402120205851e+00 -1.745209514786806970e+00 -3.431834402120205407e+00
1.524444444444444358e+01 1.749096190967764475e+00 3.475788840249040224e+00 -1.749096190967764475e+00 -3.475788840249040224e+00
1.588888888888888751e+01 1.752932967273628018e+00 3.516171801953872134e+00 -1.752932967273627796e+00 -3.516171801953872578e+00
1.653333333333333144e+01 1.756874250914907787e+00 3.553319735564351767e+00 -1.756874250914908009e+00 -3.553319735564351767e+00
1.717777777777777715e+01 1.761040207392815304e+00 3.587520511829676018e+00 -1.761040207392815526e+00 -3.587520511829675574e+00
1.782222222222222285e+01 1.765525927247111770e+00 3.619020643325888020e+00 -1.765525927247111770e+00 -3.619020643325888020e+00
1.846666666666666501e+01 1.770408093784585635e+00 3.648031125223619942e+00 -1.770408093784585413e+00 -3.648031125223619942e+00
1.911111111111111072e+01 1.775749896880389311e+00 3.674732136762500545e+00 -1.775749896880389533e+00 -3.674732136762499657e+00
1.975555555555555287e+01 1.781604701521755540e+00 3.699276801922625868e+00 -1.781604701521755318e+00 -3.699276801922625868e+00
2.039999999999999858e+01 1.788018822838658872e+00 3.721794168774503753e+00 -1.788018822838658428e+00 -3.721794168774503753e+00
2.039999999999999858e+01 1.788018822838658872e+00 3.721794168774503753e+00 -1.788018822838658428e+00 -3.721794168774503753e+00
2.104444444444444429e+01 1.795033653685890407e+00 3.742391532562513667e+00 -1.795033653685890185e+00 -3.742391532562514112e+00
2.168888888888888644e+01 1.802687318614521361e+00 3.761156198140604978e+00 -1.802687318614521361e+00 -3.761156198140604978e+00
2.233333333333333215e+01 1.811015977910255481e+00 3.778156752371438110e+00 -1.811015977910255037e+00 -3.778156752371438554e+00
2.297777777777777430e+01 1.820054869861291058e+00 3.793443895614127204e+00 -1.820054869861291280e+00 -3.793443895614127648e+00
2.362222222222222001e+01 1.829839153604029045e+00 3.807050862466351937e+00 -1.829839153604029045e+00 -3.807050862466351937e+00
2.426666666666666572e+01 1.840404595381201824e+00 3.818993444509923840e+00 -1.840404595381202046e+00 -3.818993444509923396e+00
2.491111111111110787e+01 1.851788125375052330e+00 3.829269610970126969e+00 -1.851788125375052552e+00 -3.829269610970126525e+00
2.555555555555555358e+01 1.864028278522597004e+00 3.837858705972716944e+00 -1.864028278522597004e+00 -3.837858705972716500e+00
