radius_cm,jrad_re_N0,jrad_im_N0,jrad_re_N1,jrad_im_N1,jrad_re_N2,jrad_im_N2,jrad_re_N3,jrad_im_N3,jrad_re_N4,jrad_im_N4,jrad_re_N5,jrad_im_N5,jrad_re_N6,jrad_im_N6
  3.4397947658959794E+01,  2.8406112559273157E+07, -1.5696863850332584E+07,  2.8266448473944981E+07, -1.4779919682228781E+07,  2.8101092163473200E+07, -1.4661924563221227E+07,  2.8089086590137072E+07, -1.4653859599662475E+07,  2.8088481001712129E+07, -1.4653456144384645E+07,  2.8088457036508046E+07, -1.4653440291899096E+07,  2.8088456242993448E+07, -1.4653439768697767E+07
  3.4507131856279806E+01,  3.3520456069063190E+07, -2.7813853765732624E+07,  3.3377081266522270E+07, -2.6941791731923752E+07,  3.3219519958569217E+07, -2.6825666682839494E+07,  3.3207819600250524E+07, -2.6817623038304560E+07,  3.3207222311109565E+07, -2.6817217974547014E+07,  3.3207198600447636E+07, -2.6817202055285327E+07,  3.3207197813520890E+07, -2.6817201529644687E+07
  3.4616316053599817E+01,  3.4961862489590541E+07, -3.8360219692572512E+07,  3.4951816246046916E+07, -3.7630922975871183E+07,  3.4816957435409531E+07, -3.7526853641147822E+07,  3.4806568471564330E+07, -3.7519511877306655E+07,  3.4806029789829560E+07, -3.7519139146710217E+07,  3.4806008328530371E+07, -3.7519124498057663E+07,  3.4806007614508182E+07, -3.7519124014266297E+07
  3.4725500250919822E+01,  3.1734640736514103E+07, -4.6208020374802701E+07,  3.1974207783857457E+07, -4.5707625291600116E+07,  3.1875117310867973E+07, -4.5624798771137238E+07,  3.1866936445473455E+07, -4.5618778298812717E+07,  3.1866501575220171E+07, -4.5618468933263056E+07,  3.1866484159636099E+07, -4.5618456778269753E+07,  3.1866483578365482E+07, -4.5618456376857199E+07
  3.4834684448239834E+01,  2.3162572473105192E+07, -5.0422966216771320E+07,  2.3735559646900967E+07, -5.0217960163374752E+07,  2.3682299897183619E+07, -5.0163769393172257E+07,  2.3677037231552973E+07, -5.0159575686368324E+07,  2.3676742426920619E+07, -5.0159355177560955E+07,  2.3676730502246335E+07, -5.0159346521108791E+07,  2.3676730102014028E+07, -5.0159346235398978E+07
  3.4943868645559839E+01,  8.9782192779020369E+06, -5.0354019417318583E+07,  9.9269577144276835E+06, -5.0484955984722435E+07,  9.9256760509212688E+06, -5.0464355951338179E+07,  9.9237938269818015E+06, -5.0462337552520633E+07,  9.9236633165282942E+06, -5.0462223701288015E+07,  9.9236578544456512E+06, -5.0462219245168850E+07,  9.9236576678878106E+06, -5.0462219098458193E+07
  3.5053052842879850E+01, -1.0619548384418231E+07, -4.5699894696096882E+07, -9.2996462736915126E+06, -4.6177286508572131E+07, -9.2472987376162261E+06, -4.6192357986515850E+07, -9.2456262453447320E+06, -4.6192676984824374E+07, -9.2455823009667322E+06, -4.6192678413719282E+07, -9.2455808838530146E+06, -4.6192678497875407E+07, -9.2455808424911164E+06, -4.6192678501476780E+07
  3.5162237040199862E+01, -3.4946040496644333E+07, -3.6546338772622317E+07, -3.3307840635718092E+07, -3.7349103920519970E+07, -3.3204907946098357E+07, -3.7398862656413242E+07, -3.3199809924720258E+07, -3.7401481162073448E+07, -3.3199596267577760E+07, -3.7401596617553852E+07, -3.3199588143570572E+07, -3.7401601192476541E+07, -3.3199587879591703E+07, -3.7401601344795682E+07
  3.5271421237519867E+01, -6.2852317669675522E+07, -2.3370547153010052E+07, -6.0994060206284732E+07, -2.4447167197758328E+07, -6.0848078867577508E+07, -2.4527635420385998E+07, -6.0839977493092887E+07, -2.4532319183615692E+07, -6.0839613324917443E+07, -2.4532537686212573E+07, -6.0839599238489188E+07, -2.4532546318811681E+07, -6.0839598776220940E+07, -2.4532546605533697E+07
  3.5380605434839879E+01, -9.2787410529639840E+07, -7.0118872902625222E+06, -9.0845727940259829E+07, -8.2842023997037932E+06, -9.0668137736472979E+07, -8.3887370196160972E+06, -9.0657712610182881E+07, -8.3950758690869305E+06, -9.0657229910913408E+07, -8.3953776970128398E+06, -9.0657211112913251E+07, -8.3953896093902197E+06, -9.0657210493552327E+07, -8.3953900047579110E+06
  3.5489789632159884E+01, -1.2289724496799791E+08,  1.1389003459090017E+07, -1.2103664102591473E+08,  1.0019663667657129E+07, -1.2084185770996390E+08,  9.8998138555863164E+06, -1.2082998823485899E+08,  9.8923705244119205E+06, -1.2082942898862889E+08,  9.8920121043673493E+06, -1.2082940712716553E+08,  9.8919979666360430E+06, -1.2082940640517738E+08,  9.8919974975635149E+06
  3.5598973829479895E+01, -1.5115310339640653E+08,  3.0477938042305920E+07, -1.4955274043127677E+08,  2.9122791380318355E+07, -1.4935696777118137E+08,  2.8997746866324499E+07, -1.4934465839415830E+08,  2.8989842614639886E+07, -1.4934407096235171E+08,  2.8989459019216675E+07, -1.4934404793980196E+08,  2.8989443895221613E+07, -1.4934404717818785E+08,  2.8989443393525820E+07
  3.5708158026799907E+01, -1.7549979106007570E+08,  4.8794569576311275E+07, -1.7433867109656498E+08,  4.7568248921627358E+07, -1.7415855232885563E+08,  4.7448642029730782E+07, -1.7414684704681596E+08,  4.7440958000384115E+07, -1.7414628200093257E+08,  4.7440582606396303E+07, -1.7414625980943006E+08,  4.7440567812405325E+07, -1.7414625907427067E+08,  4.7440567321745031E+07
  3.5817342224119912E+01, -1.9401181434850413E+08,  6.4890560908057481E+07, -1.9345358654033384E+08,  6.3901579044468150E+07, -1.9330480931511632E+08,  6.3797651098134890E+07, -1.9329470276578167E+08,  6.3790847507819951E+07, -1.9329420853901741E+08,  6.3790512768334955E+07, -1.9329418908861426E+08,  6.3790499583964162E+07, -1.9329418844336113E+08,  6.3790499146798745E+07
  3.5926526421439924E+01, -2.0504498147417238E+08,  7.7448654237215161E+07, -2.0522365082162267E+08,  7.6790270534423918E+07, -2.0511962401417708E+08,  7.6711000824131519E+07, -2.0511197676640424E+08,  7.6705660354002804E+07, -2.0511159549811208E+08,  7.6705395002835289E+07, -2.0511158045242205E+08,  7.6705384560698658E+07, -2.0511157995242909E+08,  7.6705384214624554E+07
  3.6035710618759936E+01, -2.0737098988701606E+08,  8.5392610862756193E+07, -2.0837873651852536E+08,  8.5134874006234616E+07, -2.0832945144911635E+08,  8.5087215066411078E+07, -2.0832491674731666E+08,  8.5083793014963478E+07, -2.0832468067755941E+08,  8.5083619600217044E+07, -2.0832467131103075E+08,  8.5083612788563803E+07, -2.0832467099879685E+08,  8.5083612563079536E+07
  3.6144894816079940E+01, -2.0028376519862336E+08,  8.7978695897281379E+07, -2.0216191475262272E+08,  8.8162340288764179E+07, -2.0217308788847187E+08,  8.8150624917818189E+07, -2.0217205612239400E+08,  8.8149410394060418E+07, -2.0217198484611243E+08,  8.8149343352773309E+07, -2.0217198193520024E+08,  8.8149340739490151E+07, -2.0217198183673191E+08,  8.8149340653468639E+07
  3.6254079013399952E+01, -1.8366846988215953E+08,  8.4860885085238233E+07, -1.8640239781402043E+08,  8.5493603930137366E+07, -1.8647496824172401E+08,  8.5519174695631251E+07, -1.8647753389092374E+08,  8.5520266176937491E+07, -1.8647763270693502E+08,  8.5520310615963191E+07, -1.8647763646450824E+08,  8.5520312400466591E+07, -1.8647763658711568E+08,  8.5520312460551813E+07
  3.6363263210719964E+01, -1.5802703175489029E+08,  7.6124144618750811E+07, -1.6154545942015344E+08,  7.7179563222762793E+07, -1.6167548430449045E+08,  7.7240656145727456E+07, -1.6168143817717531E+08,  7.7243953485510617E+07, -1.6168169767270327E+08,  7.7244104772644922E+07, -1.6168170773128575E+08,  7.7244110769775018E+07, -1.6168170806299961E+08,  7.7244110969840214E+07
  3.6472447408039969E+01, -1.2445751053761242E+08,  6.2282796283276163E+07, -1.2863628615407933E+08,  6.3702241682763442E+07, -1.2881524361182357E+08,  6.3794134026882842E+07, -1.2882409102638967E+08,  6.3799347579204232E+07, -1.2882448793125391E+08,  6.3799591778530724E+07, -1.2882450337648013E+08,  6.3799601435791880E+07, -1.2882450388713823E+08,  6.3799601757504910E+07
  3.6581631605359981E+01, -8.4588337454635575E+07,  4.4243903557290822E+07, -8.9258421444949985E+07,  4.5940830696586266E+07, -8.9473895651290238E+07,  4.6056240169555455E+07, -8.9484898982486546E+07,  4.6062916223142087E+07, -8.9485398217628092E+07,  4.6063231335652240E+07, -8.9485417668962881E+07,  4.6063243782265201E+07, -8.9485418312870517E+07,  4.6063244196710736E+07
